,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-02-25,166.5,173.0,164.0,171.0,168.377991,1297086
1,2020-02-26,167.0,171.0,166.5,167.0,164.439331,1110264
2,2020-02-27,167.0,169.0,163.5,164.5,161.977661,1564566
3,2020-03-02,155.0,163.0,155.0,160.0,157.546661,1551250
4,2020-03-03,161.5,169.5,161.5,166.5,163.946991,987829
5,2020-03-04,166.0,173.0,165.0,171.5,168.870331,1440451
6,2020-03-05,173.0,177.0,173.0,177.0,174.285995,1131758
7,2020-03-06,173.0,176.0,171.0,175.0,172.316666,1802603
8,2020-03-09,169.0,172.5,167.5,172.5,169.854996,1804841
9,2020-03-10,170.5,172.0,167.0,170.0,167.393326,1695613
10,2020-03-11,168.0,173.0,168.0,169.0,166.408661,962866
11,2020-03-12,168.0,171.0,156.5,157.5,155.084991,1797495
12,2020-03-13,143.0,146.0,142.0,144.0,141.791992,2217907
13,2020-03-16,141.0,141.0,133.0,133.0,130.960663,2675401
