,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-03-23,117.5,120.0,114.0,116.0,114.221329,1625222
1,2020-03-24,124.0,127.5,124.0,127.5,125.544998,1138856
2,2020-03-25,134.0,140.0,131.5,140.0,137.853333,1229741
3,2020-03-26,144.0,151.0,141.5,144.5,142.284332,3009991
4,2020-03-27,149.0,155.0,143.5,145.5,143.268997,2245900
5,2020-03-30,140.5,140.5,136.0,138.5,136.376328,935092
6,2020-03-31,141.0,144.0,133.5,134.0,131.945328,1117876
7,2020-04-01,135.0,135.0,130.5,131.5,129.483658,950887
8,2020-04-06,130.0,131.0,126.0,129.0,127.021996,1582276
9,2020-04-07,131.5,138.0,129.0,137.0,134.899338,2671422
10,2020-04-08,135.0,138.0,131.5,137.0,134.899338,1759840
11,2020-04-09,138.5,141.5,136.0,139.5,137.360992,1867172
12,2020-04-10,139.0,139.0,135.0,138.5,136.376328,940704
