,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-02-18,180.0,180.0,177.0,179.5,176.747665,808533
1,2020-02-19,179.5,182.0,179.5,180.0,177.23999,414400
2,2020-02-20,183.0,183.0,180.0,180.0,177.23999,402599
3,2020-02-21,180.0,180.5,177.0,177.0,174.285995,489298
4,2020-02-24,176.0,176.0,168.5,169.0,166.408661,1847336
5,2020-02-25,166.5,173.0,164.0,171.0,168.377991,1297086
6,2020-02-26,167.0,171.0,166.5,167.0,164.439331,1110264
7,2020-02-27,167.0,169.0,163.5,164.5,161.977661,1564566
8,2020-03-02,155.0,163.0,155.0,160.0,157.546661,1551250
9,2020-03-03,161.5,169.5,161.5,166.5,163.946991,987829
10,2020-03-04,166.0,173.0,165.0,171.5,168.870331,1440451
11,2020-03-05,173.0,177.0,173.0,177.0,174.285995,1131758
12,2020-03-06,173.0,176.0,171.0,175.0,172.316666,1802603
13,2020-03-09,169.0,172.5,167.5,172.5,169.854996,1804841
