,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-03-27,149.0,155.0,143.5,145.5,143.268997,2245900
1,2020-03-30,140.5,140.5,136.0,138.5,136.376328,935092
2,2020-03-31,141.0,144.0,133.5,134.0,131.945328,1117876
3,2020-04-01,135.0,135.0,130.5,131.5,129.483658,950887
4,2020-04-06,130.0,131.0,126.0,129.0,127.021996,1582276
5,2020-04-07,131.5,138.0,129.0,137.0,134.899338,2671422
6,2020-04-08,135.0,138.0,131.5,137.0,134.899338,1759840
7,2020-04-09,138.5,141.5,136.0,139.5,137.360992,1867172
8,2020-04-10,139.0,139.0,135.0,138.5,136.376328,940704
9,2020-04-13,136.0,137.0,132.0,132.5,130.468338,1288207
10,2020-04-14,134.0,143.0,133.0,142.5,140.315002,2499213
11,2020-04-15,144.0,145.5,138.5,139.5,137.360992,1974739
12,2020-04-16,137.0,137.0,131.5,134.5,132.437668,3722134
