,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-01-31,176.5,182.5,176.0,180.0,177.23999,2528606
1,2020-02-03,177.0,179.0,174.5,177.0,174.285995,1429117
2,2020-02-04,202.5,202.5,178.5,178.5,175.763,852286
3,2020-02-05,180.0,187.5,178.5,182.0,179.209335,1237357
4,2020-02-06,183.0,188.0,183.0,187.5,184.625,737832
5,2020-02-07,183.5,187.5,183.5,186.0,183.147995,690173
6,2020-02-10,185.0,185.0,181.0,181.0,178.22467,630255
7,2020-02-11,181.0,183.0,181.0,181.0,178.22467,576197
8,2020-02-12,181.0,183.0,181.0,181.5,178.716995,458277
9,2020-02-13,182.5,185.5,182.5,184.5,181.67099,519505
10,2020-02-14,184.5,185.0,182.0,182.0,179.209335,717520
11,2020-02-17,184.0,184.0,180.5,181.5,178.716995,298950
12,2020-02-18,180.0,180.0,177.0,179.5,176.747665,808533
13,2020-02-19,179.5,182.0,179.5,180.0,177.23999,414400
14,2020-02-20,183.0,183.0,180.0,180.0,177.23999,402599
