,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-01-08,201.0,201.0,197.0,199.0,195.948669,787003
1,2020-01-09,200.0,203.0,200.0,200.5,197.425659,707112
2,2020-01-10,199.0,200.0,193.0,193.0,190.040665,2005422
3,2020-01-13,196.0,196.5,193.0,195.5,192.502335,1434140
4,2020-01-14,195.0,196.0,192.5,193.0,190.040665,1571890
5,2020-01-15,195.0,196.0,192.0,193.5,190.53299,1148845
6,2020-01-16,193.0,193.5,191.0,193.0,190.040665,777160
7,2020-01-17,194.5,195.0,193.5,194.0,191.02533,485672
8,2020-01-20,195.0,195.5,193.5,194.0,191.02533,691547
