,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,214.5,217.0,207.0,208.5,183.994217,574000.0
1,2016-01-05,207.0,212.5,207.0,210.0,185.317932,357000.0
2,2016-01-06,210.0,212.5,209.5,212.0,187.08284,358000.0
3,2016-01-07,212.0,212.0,206.5,208.0,183.552994,481000.0
4,2016-01-08,203.0,206.5,203.0,205.0,180.905609,355000.0
5,2016-01-11,201.5,204.0,198.0,203.0,179.140656,482000.0
6,2016-01-12,201.0,202.5,199.0,199.0,175.610794,431000.0
7,2016-01-13,197.0,204.0,197.0,203.0,179.140656,325000.0
8,2016-01-14,202.0,202.0,198.5,200.0,176.493256,253000.0
9,2016-01-15,200.0,204.0,200.0,201.5,177.816971,457000.0
10,2016-01-18,200.0,204.0,199.5,204.0,180.023132,453000.0
11,2016-01-19,204.0,206.0,202.5,206.0,181.788055,333000.0
12,2016-01-20,209.0,209.0,200.5,201.5,177.816971,458000.0
13,2016-01-21,202.5,203.0,199.5,201.5,177.816971,336000.0
14,2016-01-22,204.0,204.0,202.0,203.0,179.140656,188000.0
15,2016-01-25,202.5,211.0,202.0,209.5,184.876694,245000.0
16,2016-01-26,205.0,209.0,203.0,207.0,182.670517,151000.0
17,2016-01-27,207.0,210.0,203.5,204.0,180.023132,226000.0
18,2016-01-28,204.0,216.5,203.0,212.0,187.08284,772000.0
19,2016-01-29,212.0,219.0,208.0,219.0,193.260101,563000.0
20,2016-01-30,,,,,,
21,2016-02-01,219.0,225.0,216.0,225.0,198.554916,382000.0
22,2016-02-02,220.0,228.0,218.5,227.5,200.761078,414000.0
23,2016-02-03,222.5,227.5,218.5,218.5,192.818893,489000.0
24,2016-02-15,220.0,220.0,212.0,216.5,191.053955,334000.0
25,2016-02-16,216.5,224.5,216.5,223.0,196.789978,599000.0
26,2016-02-17,220.0,221.0,219.0,220.0,194.142593,221000.0
27,2016-02-18,220.5,221.0,216.5,217.5,191.936417,514000.0
28,2016-02-19,219.0,220.0,218.0,219.5,193.701355,403000.0
29,2016-02-22,215.5,221.5,215.0,219.5,193.701355,311000.0
30,2016-02-23,218.5,219.5,218.0,218.0,192.377655,297000.0
31,2016-02-24,218.5,218.5,205.0,211.0,186.200378,647000.0
32,2016-02-25,212.0,212.0,209.0,211.0,186.200378,518000.0
33,2016-02-26,214.0,215.5,211.5,212.0,187.08284,481000.0
34,2016-03-01,210.0,212.0,207.0,212.0,187.08284,722000.0
35,2016-03-02,214.5,217.5,211.5,214.5,189.289017,767000.0
36,2016-03-03,214.5,216.0,213.0,215.5,190.171494,487000.0
37,2016-03-04,216.0,216.0,212.5,213.5,188.406555,441000.0
38,2016-03-07,216.0,217.0,213.5,216.0,190.612717,298000.0
39,2016-03-08,218.0,218.0,207.5,214.0,188.847778,845000.0
40,2016-03-09,214.0,217.0,205.0,215.5,190.171494,604000.0
41,2016-03-10,215.5,217.5,213.5,216.5,191.053955,337000.0
42,2016-03-11,217.5,217.5,215.5,217.0,191.495178,300000.0
43,2016-03-14,213.5,215.0,212.0,213.0,187.965332,675000.0
44,2016-03-15,210.5,214.0,208.5,212.0,187.08284,324000.0
45,2016-03-16,212.0,215.5,209.5,215.5,190.171494,312000.0
46,2016-03-17,218.5,218.5,215.5,218.0,192.377655,299000.0
47,2016-03-18,219.0,221.0,215.5,221.0,195.025055,716000.0
48,2016-03-21,222.5,222.5,217.0,221.0,195.025055,291000.0
49,2016-03-22,221.0,221.5,214.0,217.0,191.495178,368000.0
50,2016-03-23,217.0,218.5,213.5,215.5,190.171494,220000.0
51,2016-03-24,211.5,215.0,209.0,210.0,185.317932,459000.0
52,2016-03-25,210.0,210.5,208.5,209.5,184.876694,472000.0
53,2016-03-28,210.0,210.0,207.5,207.5,183.111755,239000.0
54,2016-03-29,207.5,207.5,198.0,201.0,177.375732,549000.0
55,2016-03-30,198.0,198.5,191.5,193.5,170.757217,1311000.0
56,2016-03-31,192.0,195.0,185.5,186.0,164.138733,1968000.0
57,2016-04-01,185.5,185.5,180.0,181.0,159.72641,1807000.0
58,2016-04-06,181.0,183.5,180.0,182.0,160.608871,1282000.0
59,2016-04-07,182.0,183.0,173.0,176.0,155.314072,1150000.0
60,2016-04-08,181.5,187.0,181.5,186.0,164.138733,1614000.0
61,2016-04-11,189.0,191.0,185.5,190.0,167.668594,1393000.0
62,2016-04-12,190.0,190.5,187.5,189.0,166.786133,806000.0
63,2016-04-13,191.0,195.5,190.5,192.5,169.874756,1058000.0
64,2016-04-14,195.0,195.5,194.0,194.5,171.639709,559000.0
65,2016-04-15,194.5,195.5,193.5,195.0,172.080917,469000.0
66,2016-04-18,194.0,194.0,191.0,192.5,169.874756,426000.0
67,2016-04-19,192.5,195.0,190.0,190.0,167.668594,481000.0
68,2016-04-20,189.0,192.5,186.5,187.0,165.021194,577000.0
69,2016-04-21,186.5,189.5,186.5,189.0,166.786133,250000.0
70,2016-04-22,189.0,196.0,189.0,195.0,172.080917,446000.0
71,2016-04-25,196.0,198.5,195.0,198.5,175.169556,341000.0
72,2016-04-26,200.0,205.0,198.5,201.0,177.375732,664000.0
73,2016-04-27,202.0,202.0,194.5,197.5,174.287094,475000.0
74,2016-04-28,197.5,200.5,192.5,198.5,175.169556,643000.0
75,2016-04-29,194.0,195.0,193.0,194.0,171.198456,279000.0
76,2016-05-03,194.0,198.5,191.5,197.0,173.845856,485000.0
77,2016-05-04,198.0,198.0,186.0,186.5,164.579941,765000.0
78,2016-05-05,187.0,188.5,184.0,184.0,162.37381,772000.0
79,2016-05-06,183.0,191.0,183.0,186.0,164.138733,852000.0
80,2016-05-09,186.0,189.0,184.0,185.0,163.256256,581000.0
81,2016-05-10,181.5,182.5,180.0,181.5,160.167633,405000.0
82,2016-05-11,181.5,182.0,178.0,178.5,157.520233,518000.0
83,2016-05-12,178.0,182.5,177.5,178.5,157.520233,377000.0
84,2016-05-13,178.5,181.5,173.5,180.5,159.285172,724000.0
85,2016-05-16,181.0,182.5,179.5,181.0,159.72641,489000.0
86,2016-05-17,180.5,184.5,180.0,181.5,160.167633,648000.0
87,2016-05-18,180.0,181.0,178.5,180.0,158.843933,362000.0
88,2016-05-19,178.0,180.0,177.0,179.5,158.40271,493000.0
89,2016-05-20,178.0,180.5,178.0,179.0,157.961472,203000.0
90,2016-05-23,179.0,185.0,177.0,184.5,162.815048,535000.0
91,2016-05-24,181.5,185.0,181.5,182.5,161.050095,211000.0
92,2016-05-25,181.5,186.5,181.5,185.5,163.697495,433000.0
93,2016-05-26,185.5,189.0,185.0,186.0,164.138733,444000.0
94,2016-05-27,187.5,188.5,186.5,186.5,164.579941,296000.0
95,2016-05-30,186.5,194.5,184.5,192.0,169.433533,525000.0
96,2016-05-31,192.0,194.5,191.0,194.5,171.639709,656000.0
97,2016-06-01,194.5,201.0,192.0,197.0,173.845856,628000.0
98,2016-06-02,195.5,199.0,192.0,192.0,169.433533,349000.0
99,2016-06-03,193.5,196.0,193.5,194.5,171.639709,352000.0
100,2016-06-04,,,,,,
101,2016-06-06,198.0,198.5,194.0,195.5,172.522156,135000.0
102,2016-06-07,198.0,199.0,195.5,198.0,174.728333,536000.0
103,2016-06-08,198.5,202.5,196.0,202.5,178.699417,618000.0
104,2016-06-13,200.0,202.5,199.0,201.5,177.816971,536000.0
105,2016-06-14,200.0,204.0,196.0,203.5,179.581894,342000.0
106,2016-06-15,202.5,203.5,198.0,200.5,176.934494,330000.0
107,2016-06-16,200.0,200.5,198.0,199.5,176.052032,330000.0
108,2016-06-17,201.0,203.0,200.0,201.5,177.816971,278000.0
109,2016-06-20,200.5,202.0,199.0,200.0,176.493256,392000.0
110,2016-06-21,200.0,205.0,200.0,205.0,180.905609,344000.0
111,2016-06-22,204.5,205.0,201.0,205.0,180.905609,495000.0
112,2016-06-23,204.0,209.5,202.0,209.5,184.876694,427000.0
113,2016-06-24,210.5,212.0,201.5,203.0,179.140656,701000.0
114,2016-06-27,199.0,203.0,198.0,200.0,176.493256,251000.0
115,2016-06-28,198.0,198.0,194.0,197.0,173.845856,14000.0
116,2016-06-29,197.5,202.0,196.0,200.5,176.934494,684000.0
117,2016-06-30,198.0,201.5,196.5,200.0,176.493256,860000.0
118,2016-07-01,200.0,206.0,199.0,204.5,180.464371,678000.0
119,2016-07-04,204.5,204.5,200.0,200.5,176.934494,491000.0
120,2016-07-05,200.0,204.0,199.5,203.0,179.140656,494000.0
121,2016-07-06,202.0,204.5,198.5,201.5,177.816971,644000.0
122,2016-07-07,203.0,203.0,200.0,200.5,176.934494,240000.0
123,2016-07-08,200.5,200.5,200.5,200.5,176.934494,0.0
124,2016-07-11,207.0,209.5,204.0,208.5,183.994217,621000.0
125,2016-07-12,210.0,212.0,208.0,212.0,187.08284,628000.0
126,2016-07-13,216.0,217.0,209.5,212.0,187.08284,452000.0
127,2016-07-14,212.0,214.0,209.5,214.0,188.847778,508000.0
128,2016-07-15,218.5,228.0,217.5,225.0,198.554916,945000.0
129,2016-07-18,228.0,231.5,226.5,231.0,203.849716,916000.0
130,2016-07-19,234.0,234.0,229.0,229.0,202.084778,935000.0
