,Date,Open,High,Low,Close,Adj Close,Volume
0,2017-01-03,184.0,184.0,181.5,182.5,165.832214,270000.0
1,2017-01-04,183.0,184.0,182.5,183.5,166.740906,355000.0
2,2017-01-05,183.5,191.5,183.5,191.5,174.010269,993000.0
3,2017-01-06,191.5,196.0,190.0,195.5,177.644943,1028000.0
4,2017-01-09,196.5,198.0,195.0,197.0,179.00795,679000.0
5,2017-01-10,196.0,197.0,192.5,196.0,178.099274,544000.0
6,2017-01-11,197.0,197.0,193.0,195.5,177.644943,608000.0
7,2017-01-12,195.5,199.0,195.5,198.0,179.916626,737000.0
8,2017-01-13,198.5,199.0,193.5,194.0,176.281937,269000.0
9,2017-01-16,193.0,195.5,190.0,190.5,173.101608,172000.0
10,2017-01-17,191.5,196.0,191.0,195.5,177.644943,316000.0
11,2017-01-18,195.5,195.5,191.0,191.5,174.010269,178000.0
12,2017-01-19,191.0,191.0,187.0,187.0,169.921249,649000.0
13,2017-01-20,188.5,204.0,188.5,202.0,183.551285,1553000.0
14,2017-01-23,202.5,209.0,199.5,203.0,184.459961,978000.0
15,2017-01-24,203.0,205.5,201.0,205.0,186.277313,437000.0
16,2017-02-02,203.0,207.5,198.0,200.0,181.733963,1133000.0
17,2017-02-03,201.5,202.5,197.0,198.0,179.916626,654000.0
18,2017-02-06,199.0,200.0,197.0,199.5,181.279617,464000.0
19,2017-02-07,199.5,200.5,198.0,198.0,179.916626,210000.0
20,2017-02-08,197.5,198.5,195.0,195.0,177.190613,672000.0
21,2017-02-09,195.0,197.0,194.0,195.0,177.190613,394000.0
22,2017-02-10,195.5,197.0,193.5,197.0,179.00795,711000.0
23,2017-02-13,198.0,198.0,195.0,197.0,179.00795,311000.0
24,2017-02-14,198.0,198.5,194.5,195.0,177.190613,473000.0
25,2017-02-15,196.5,197.5,195.5,197.5,179.46228,403000.0
26,2017-02-16,198.0,198.0,197.0,198.0,179.916626,403000.0
27,2017-02-17,198.0,198.5,193.0,195.0,177.190613,347000.0
28,2017-02-18,,,,,,
29,2017-02-20,196.0,196.0,194.0,194.5,176.736282,198000.0
30,2017-02-21,193.5,194.5,192.0,193.0,175.37326,348000.0
31,2017-02-22,193.0,193.5,189.5,191.0,173.555923,557000.0
32,2017-02-23,192.0,192.0,190.0,190.5,173.101608,322000.0
33,2017-02-24,192.0,192.0,189.5,190.0,172.647247,476000.0
34,2017-03-01,189.0,190.5,187.0,188.5,171.284256,506000.0
35,2017-03-02,188.0,189.5,186.0,187.5,170.375595,296000.0
36,2017-03-03,188.0,188.0,185.5,185.5,168.558228,229000.0
37,2017-03-06,185.0,186.0,184.0,184.0,167.195236,221000.0
38,2017-03-07,184.0,186.5,183.5,186.0,169.012589,167000.0
39,2017-03-08,186.0,187.0,184.0,185.5,168.558228,200000.0
40,2017-03-09,184.5,184.5,182.0,182.5,165.832214,562000.0
41,2017-03-10,183.0,184.0,181.5,183.0,166.286575,385000.0
42,2017-03-13,183.0,185.5,183.0,185.0,168.103912,267000.0
43,2017-03-14,186.5,189.0,185.5,185.5,168.558228,377000.0
