,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-02-12,153.0,154.5,151.5,151.5,146.238174,630577
1,2019-02-13,152.0,153.0,146.0,148.0,142.859741,1398077
2,2019-02-14,148.0,154.0,148.0,154.0,148.651352,1274745
3,2019-02-15,155.0,155.5,152.0,153.0,147.686081,1102843
4,2019-02-18,155.5,161.0,155.0,158.0,152.512421,1094290
5,2019-02-19,158.0,172.0,158.0,168.0,162.165115,2308008
6,2019-02-20,171.0,175.0,168.0,173.5,167.474091,1936114
7,2019-02-21,172.5,172.5,169.0,169.5,163.613007,1301327
8,2019-02-22,169.0,174.0,166.0,170.5,164.578278,855113
9,2019-02-25,173.0,173.0,169.0,169.0,163.130371,808342
10,2019-02-26,169.0,172.0,168.5,169.0,163.130371,741246
11,2019-02-27,171.0,171.0,168.0,169.5,163.613007,709287
12,2019-03-04,171.0,172.0,168.0,169.5,163.613007,731439
13,2019-03-05,168.0,169.5,164.5,168.5,162.647736,1000970
14,2019-03-06,169.5,169.5,164.5,166.0,160.234573,608620
15,2019-03-07,166.5,170.0,166.5,168.0,162.165115,742815
16,2019-03-08,166.5,169.5,165.5,166.0,160.234573,309206
17,2019-03-11,166.0,170.5,165.5,169.5,163.613007,1208053
18,2019-03-12,172.5,181.5,172.5,176.0,169.887253,2586521
19,2019-03-13,176.5,186.0,176.5,185.0,178.574661,2036012
20,2019-03-14,185.0,200.0,185.0,191.0,184.366287,4192511
21,2019-03-15,189.5,195.0,186.0,194.5,187.74472,1481852
22,2019-03-18,194.5,198.5,190.5,196.5,189.675262,1025637
23,2019-03-19,195.0,199.0,194.0,197.5,190.640533,461215
24,2019-03-20,198.5,207.0,198.0,205.0,197.880051,1896105
25,2019-03-21,206.0,206.0,198.0,202.5,195.466858,1146944
26,2019-03-22,203.0,210.0,203.0,207.5,200.293213,1765844
27,2019-03-25,203.0,209.5,198.0,207.0,199.810577,1601544
28,2019-03-26,209.5,214.0,201.5,206.0,198.845306,1727118
29,2019-03-27,207.0,210.5,206.5,209.0,201.741104,1029987
30,2019-03-28,209.0,210.0,204.0,210.0,202.706375,761339
31,2019-03-29,212.5,220.0,210.5,220.0,212.35907,1707754
32,2019-04-01,220.0,220.0,205.5,209.0,201.741104,1951819
33,2019-04-02,209.0,212.5,204.0,207.5,200.293213,1488089
34,2019-04-03,210.0,214.0,207.5,208.0,200.775848,857599
35,2019-04-08,209.0,209.5,201.5,205.0,197.880051,1380890
36,2019-04-09,200.0,210.0,199.0,208.0,200.775848,1795922
37,2019-04-10,208.0,210.0,204.5,210.0,202.706375,784266
38,2019-04-11,210.0,211.0,206.0,206.5,199.327942,573362
39,2019-04-12,204.5,209.0,202.5,208.0,200.775848,990997
40,2019-04-15,206.0,211.0,205.0,211.0,203.671646,742831
41,2019-04-16,209.0,217.0,209.0,216.5,208.980621,822194
42,2019-04-17,215.0,219.5,215.0,217.0,209.463257,749950
43,2019-04-18,217.0,218.0,213.0,216.0,208.498001,694561
44,2019-04-19,218.5,221.5,217.0,220.0,212.35907,972290
45,2019-04-22,220.0,220.5,215.0,216.5,208.980621,738288
46,2019-04-23,216.0,217.5,214.5,217.5,209.945892,250295
47,2019-04-24,213.0,214.0,207.0,211.0,203.671646,2383182
48,2019-04-25,209.5,211.5,203.0,210.0,202.706375,3026727
49,2019-04-26,210.0,218.0,208.0,217.0,209.463257,1000900
50,2019-04-29,219.5,227.0,218.0,226.0,218.150681,1164088
51,2019-04-30,226.0,237.0,225.0,235.5,227.320724,1704166
52,2019-05-02,235.5,236.5,230.0,231.0,222.97702,950935
53,2019-05-03,234.5,236.0,226.5,230.5,222.494385,981062
54,2019-05-06,228.0,228.0,220.0,224.0,216.220139,1099800
55,2019-05-07,227.0,229.0,222.0,225.0,217.18541,1113307
56,2019-05-08,221.5,229.5,221.5,227.5,219.598587,1061401
